Region,Country,Year,Category,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget (LC),Pep Budget (LC),Bottler Budget (LC),Budget,Pep Budget,Bottler Budget
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Ad Production,Digital Ad Production,50,3777026,1982700,1794326,701295,368135,333160
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Ad Production,Other Ad Production,50,3482925,1823673,1659252,646688,338608,308080
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,50,321987,152998,168989,59784,28407,31377
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Agency Fees,Creative Agency Fees,50,3501881,1804609,1697272,650208,335069,315139
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,50,2787568,1396262,1391306,517579,259249,258330
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Agency Fees,Media Agency Fees,50,659949,319031,340918,122535,59235,63300
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Agency Fees,Other Agency Fees,50,7105467,3494308,3611159,1319300,648802,670498
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,50,6915302,3454758,3460544,1283992,641458,642534
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Innovation and Insight,Innovation,50,1162757,587458,575299,215893,109075,106818
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Innovation and Insight,Market Research,50,416424,202415,214009,77319,37583,39736
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,50,418993,210855,208138,77796,39150,38646
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Advanced Analytics,50,705550,363601,341949,131002,67511,63491
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Brand Building,50,737595,360016,377579,136952,66845,70107
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Consumer Tracking,50,22480407,11775087,10705320,4174028,2186328,1987700
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,50,5397298,2683947,2713351,1002138,498339,503799
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Foundational Data / Systems,50,864006,427373,436633,160423,79352,81071
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Innovation Insights,50,1192237,564202,628035,221367,104757,116610
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Insight,Strategic Insights,50,3377489,1706972,1670517,627112,316940,310172
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Other Non Working,All Other Non Working,50,1849475,936883,912592,343399,173954,169445
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Other Non Working,NW-Cross Charges,50,49969,26282,23687,9277,4879,4398
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,50,306893,159859,147034,56982,29681,27301
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,50,1544251,755331,788920,286727,140245,146482
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Other Non Working,Out of Scope Countries ( D8 Gastos),50,15363054,7684886,7678168,2852520,1426883,1425637
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Package Design,Other Package Design,50,15351362,8019952,7331410,2850349,1489097,1361252
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Non-Working,Package Design,Package Design,50,33351680,16681655,16670025,6192541,3097350,3095191
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Consumer Promotions,Consumer Promotions Execution,50,4406106,2218472,2187634,818099,411912,406187
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Consumer Promotions,Coupons (Redemption),50,3428065,1777873,1650192,636502,330104,306398
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Consumer Promotions,Other Consumer Promotions,50,8049009,4121845,3927164,1494492,765319,729173
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Consumer Promotions,Premiums,50,226244,110759,115485,42007,20565,21442
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,In Store & POS Execution,In-Store and POS Execution,50,221443,110901,110542,41116,20591,20525
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,In Store & POS Execution,Other In-Store and POS Execution,50,3390709,1690810,1699899,629566,313939,315627
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Media Placements,Digital Media,50,3307976,1723793,1584183,614205,320063,294142
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Media Placements,Media Placements,50,14242391,7001471,7240920,2644442,1299991,1344451
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Media Placements,Other Media,50,13569810,7109241,6460569,2519561,1320001,1199560
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Other Working,All Other Working,50,8076976,4052099,4024877,1499684,752369,747315
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Other Working,W-Cross Charges,50,8063762,3816925,4246837,1497231,708703,788528
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Other Working,W-Excluded non-A&M Items,50,24709312,11630552,13078760,4587878,2159491,2428387
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Other Working,W-Fall In / Fall Out,50,4372819,2177131,2195688,811919,404236,407683
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Sampling,Other Sampling,50,53679,27624,26055,9966,5129,4837
