Country,Year,Month,Category,Brand,Data Type,Tier 1,Tier 2,Tier 3,Expense,Status,Count
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,125,Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"20,603",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,847,Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"39,123",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"1,951",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"1,44,980",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-79,581",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - Non working,Package Design,Package Design,"1,084",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770",Approved,1
Brazil,2022,1,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"6,73,680",Approved,1
Brazil,2022,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"9,291",Approved,1
Brazil,2022,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"3,072",Approved,1
Brazil,2022,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"1,796",Approved,1
Brazil,2022,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Advanced Analytics,"14,493",Approved,1
Brazil,2022,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,275,Approved,1
Brazil,2022,1,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"96,072",Approved,1
Brazil,2022,1,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Other Agency Fees,187,Approved,1
Brazil,2022,1,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Advanced Analytics,"12,012",Approved,1
Brazil,2022,1,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Consumer Tracking,967,Approved,1
Brazil,2022,1,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,All Other Non Working,304,Approved,1
Brazil,2022,1,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,842,Approved,1
Brazil,2022,1,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"1,02,351",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"12,229",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"1,858",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"8,952",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"3,097",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Advanced Analytics,"12,515",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-3,839",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"1,16,760",Approved,1
Brazil,2022,1,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"1,02,000",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"1,062",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"5,251",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Other Agency Fees,-138,Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"2,616",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"49,327",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"4,748",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,491,Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"1,44,980",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"-11,674",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,-339,Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - Non working,Package Design,Package Design,495,Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"16,257",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770",Approved,1
Brazil,2022,2,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"3,23,899",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"5,230",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"1,481",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"6,242",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"1,711",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Advanced Analytics,"14,496",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"-1,10,076",Approved,1
Brazil,2022,2,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"2,02,054",Approved,1
Brazil,2022,2,Juices,D8,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"1,844",Approved,1
Brazil,2022,2,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Advanced Analytics,"14,317",Approved,1
Brazil,2022,2,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Consumer Tracking,-922,Approved,1
Brazil,2022,2,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"88,508",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"59,782",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"6,887",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"1,845",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"3,031",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Advanced Analytics,"12,564",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"2,331",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"28,495",Approved,1
Brazil,2022,2,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"1,32,926",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,"7,736",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"14,049",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"9,181",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"-3,055",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"-70,814",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"16,086",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Innovation Insights,"1,13,242",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,All Other Non Working,-439,Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"1,44,980",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Excluded non-A&M Items,"10,421",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-10,037",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - Non working,Package Design,Package Design,"-1,364",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - working,Consumer Promotions,Consumer Promotions Execution,"-13,353",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - working,Other Working,All Other Working,"18,913",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,A&M,PULL - working,Sampling,Product Samples,"34,506",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,STB,Others,Bottler Cooperative,CDAs,"1,21,200",Approved,1
Brazil,2022,3,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"4,79,868",Approved,1
Brazil,2022,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Ad Production,TV Print Radio OOH Prod,63,Approved,1
Brazil,2022,3,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"1,20,749",Approved,1
